year,country_code,country,gold,silver,bronze,medals_total,iso_code,gdp,population,surface_area,log_gdp,log_population,gdp_per_capita,medals_per_million,host_flag
1972,TUR,TUR,0,1,0,1,TUR,20650000000.0,38430221.0,785350.0,23.750981156353454,17.464354713240077,537.3375292325277,0.02602118785629674,0
1972,UGA,UGA,1,1,0,2,UGA,1490970180.59639,10885796.0,241550.0,21.12269287292901,16.202969378135066,136.96473648747323,0.18372565497277368,0
1972,USA,United States,69,59,43,171,USA,1279110000000.0,209896000.0,9629090.0,27.877185639518228,19.162122727915616,6094.017989861646,0.814689179403133,0
1976,AUS,Australia,0,15,8,23,AUS,105209354855.787,14033000.0,7741220.0,25.37921805778114,16.45692225673327,7497.281754135752,1.6389938003277988,0
1976,AUT,Austria,0,0,1,1,AUT,42791707448.0325,7565525.0,83879.0,24.479610169547776,15.839112301342562,5656.145138378698,0.13217853354525957,0
1976,BEL,BEL,0,3,6,9,BEL,71113882967.6071,9818227.0,33120.0,24.987548414436212,16.099751114131386,7243.047341195829,0.9166624483218813,0
1976,BRA,BRA,0,0,3,3,BRA,153168949208.207,110213349.0,8515770.0,25.75480739230168,18.517928581648192,1389.74952306555,0.027219933222426624,0
1976,CAN,CAN,0,9,14,23,CAN,207271612576.065,23449808.0,15640500.0,26.057295908159574,16.97037286518978,8838.947106776524,0.9808182651218297,1
1976,CUB,CUB,6,4,14,24,CUB,13789579902.5579,9571242.0,109890.0,23.347179064368653,16.074273535572633,1440.7304613714605,2.5075115643298957,0
1976,DEN,Denmark,3,0,5,8,DNK,44503607444.1687,5072596.0,42920.0,24.518836088994018,15.439363276082123,8773.33961627709,1.5771017443533843,0
1976,ESP,ESP,0,6,0,6,ESP,118422534195.474,36137812.0,505990.0,25.497524863884177,17.40285029896023,3276.9702326049514,0.16603108123978286,0
1976,FIN,FIN,4,2,0,6,FIN,31852352669.6415,4725664.0,338150.0,24.184377083415235,15.36851863813722,6740.291453146372,1.2696628452636496,0
1976,FRA,France,5,7,8,20,FRA,368363152144.223,54232383.0,549086.0,26.632335115001055,17.80878876031907,6792.309903553805,0.3687833521901481,0
1976,GBR,United Kingdom,6,15,11,32,GBR,232614555256.065,56211968.0,243610.0,26.172648651410498,17.844640245929146,4138.167787615353,0.5692737888130869,0
1976,GDR,GDR,102,51,42,195,DEU,521658712132.981,78336950.0,356970.0,26.980279402828913,18.176529952587277,6659.165465760168,2.48924677307452,0
1976,HUN,Hungary,14,6,35,55,HUN,13235612078.8396,10598677.0,93030.0,23.306176918540597,16.176239739971958,1248.7985131389134,5.189326932031234,0
1976,IRI,IRI,0,1,1,2,IRN,68055295080.7538,34837271.0,1745150.0,24.943586374636908,17.366198377374346,1953.5196967854858,0.057409778165459634,0
1976,ITA,ITA,2,25,4,31,ITA,225235205861.828,55718260.0,301340.0,26.140411052529092,17.835818478821885,4042.3948246378836,0.5563705686430266,0
1976,JAM,JAM,1,1,0,2,JAM,2966042856.04286,2045578.0,10990.0,21.8104945296619,14.53119094811051,1449.977882067005,0.9777187670184172,0
